genotype,rust_pct_pred_multiclass,rust_pct_pred_binary_rust,rust_pct_avg_gt,rust_score_pred_multiclass,rust_score_pred_binary_rust,rust_score_gt,ram_pct_pred_multiclass,ram_pct_pred_binary_ram,ram_pct_avg_gt,ram_score_pred_multiclass,ram_score_pred_binary_ram,ram_score_gt
9635,5.04,4.26,4.15,4,3,3,0.34,0.42,0.29,2,2,2
694037,0.25,0.54,0.21,2,2,2,2.29,1.74,1.12,3,2,2
694044,0.15,0.2,0.1,2,2,2,0.96,0.74,0.8,2,2,2
694040,0.26,0.41,0.21,2,2,2,0.66,0.37,0.47,2,2,2
694038,0.24,0.44,0.16,2,2,2,1.09,0.77,0.65,2,2,2
694042,0.48,0.76,0.49,2,2,2,1.88,1.14,1.34,2,2,2
694041,0.25,0.38,0.2,2,2,2,1.78,0.93,0.92,2,2,2
694043,0.32,0.75,0.21,2,2,2,1.97,1.26,1.55,2,2,2
41561,3.22,2.9,1.39,3,3,2,11.52,13.2,12.59,5,5,5
694039,0.1,0.29,0.08,2,2,2,1.39,0.98,1.09,2,2,2
